name,vernacular_fr,rank,tsn,created_at,updated_at
Ctenucha virginica,cténuche de virginie,espèce,188644,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Boloria chariclea,boloria pourpré,espèce,188571,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hemaris thysbe,sphinx colibri,espèce,188633,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Hemaris diffinis,sphinx chèvrefeuille,espèce,936068,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Amelanchier,amélanchier,genre,25108,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Alnus rugosa,aulne rugueux,espèce,181888,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Betula papyrifera,bouleau à papier,espèce,19489,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Betula populifolia,bouleau gris,espèce,19497,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Betula alleghaniensis,bouleau jaune,espèce,19481,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Carya cordiformis,caryer cordiforme,espèce,19227,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Prunus pensylvanica,cerisier de pennsylvanie,espèce,24799,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Pinus virginiana,cerisier de virginie,espèce,183394,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Prunus serotina,cerisier tardif,espèce,24764,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Quercus macrocarpa,chêne à gros fruits,espèce,19287,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Quercus bicolor,chêne bicolore,espèce,19300,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Quercus alba,chêne blanc,espèce,19290,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Quercus rubra,chêne rouge,espèce,19408,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Picea glauca,épinette blanche,espèce,183295,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Picea abies,épinette de norvège,espèce,183289,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Picea mariana,épinette noire,espèce,183302,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Picea rubens,épinette rouge,espèce,18034,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Acer spicatum,érable à épis,espèce,28758,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
Acer saccharum,érable à sucre,espèce,28731,2018-11-07 13:44:51.984-05,2018-11-07 13:44:51.984-05
